Time	Step	Training loss	Validation loss	Full Validation loss
05:30:19	1637	1.6180	-	-
05:30:19	1636	0.8322	-	-
05:30:17	1635	0.2888	-	-
05:30:15	1634	1.8891	-	-
05:30:13	1633	0.8036	-	-
05:30:11	1632	0.8966	-	-
05:30:09	1631	3.2683	-	-
05:30:09	1630	2.8565	-	-
05:30:07	1629	1.0455	-	-
05:30:05	1628	3.6544	-	-
05:30:03	1627	2.8220	-	-
05:30:03	1626	2.9173	-	-
05:30:01	1625	2.6657	-	-
05:29:59	1624	1.6062	-	-
05:29:57	1623	3.1323	-	-
05:29:55	1622	3.0328	-	-
05:29:53	1621	1.6485	-	-
05:29:53	1620	3.9164	-	-
05:29:51	1619	4.0937	-	-
05:29:49	1618	3.4818	-	-
05:29:47	1617	3.3420	-	-
05:29:45	1616	3.3203	-	-
05:29:45	1615	2.2528	-	-
05:29:43	1614	3.2495	-	-
05:29:41	1613	1.1727	-	-
05:29:39	1612	3.1196	-	-
05:29:37	1611	3.6364	-	-
05:29:37	1610	1.7227	-	-
05:29:35	1609	2.6954	-	-
05:29:33	1608	2.9197	-	-
05:29:31	1607	1.2358	-	-
05:29:29	1606	3.4597	-	-
05:29:27	1605	2.2339	-	-
05:29:27	1604	1.2320	-	-
05:29:25	1603	1.6637	-	-
05:29:22	1602	2.2974	-	-
05:29:20	1601	0.6262	-	-
05:29:18	1600	0.5351	1.7586	-
05:29:10	1599	2.5723	-	-
05:29:08	1598	2.6582	-	-
05:29:06	1597	2.4463	-	-
05:29:06	1596	4.0899	-	-
05:29:04	1595	2.5766	-	-
05:29:02	1594	0.5248	-	-
05:29:00	1593	1.5588	-	-
05:28:58	1592	3.2038	-	-
05:28:58	1591	1.1723	-	-
05:28:56	1590	2.8177	-	-
05:28:54	1589	2.7361	-	-
05:28:52	1588	3.8450	-	-
05:28:50	1587	2.6583	-	-
05:28:48	1586	1.0430	-	-
05:28:48	1585	3.8789	-	-
05:28:46	1584	2.7677	-	-
05:28:44	1583	0.6040	-	-
05:28:42	1582	0.2772	-	-
05:28:40	1581	1.9396	-	-
05:28:40	1580	3.4749	-	-
05:28:38	1579	3.3426	-	-
05:28:36	1578	2.4126	-	-
05:28:34	1577	1.1011	-	-
05:28:32	1576	1.9398	-	-
05:28:32	1575	1.8694	-	-
05:28:30	1574	3.2831	-	-
05:28:28	1573	3.0954	-	-
05:28:25	1572	1.0913	-	-
05:28:23	1571	3.9351	-	-
05:28:23	1570	1.9488	-	-
05:28:21	1569	2.9652	-	-
05:28:19	1568	2.1604	-	-
05:28:17	1567	2.2945	-	-
05:28:15	1566	3.6710	-	-
05:28:15	1565	1.6559	-	-
05:28:13	1564	2.9605	-	-
05:28:11	1563	1.1100	-	-
05:28:09	1562	2.4337	-	-
05:28:07	1561	1.8044	-	-
05:28:05	1560	2.7857	-	-
05:28:05	1559	2.7162	-	-
05:28:03	1558	2.8854	-	-
05:28:01	1557	0.5600	-	-
05:27:59	1556	3.6048	-	-
05:27:57	1555	2.3036	-	-
05:27:57	1554	3.2686	-	-
05:27:55	1553	3.2331	-	-
05:27:53	1552	3.5928	-	-
05:27:51	1551	1.1124	-	-
05:27:49	1550	1.0571	-	-
05:27:49	1549	3.1795	-	-
05:27:47	1548	0.7108	-	-
05:27:45	1547	2.7804	-	-
05:27:43	1546	3.1477	-	-
05:27:41	1545	3.8767	-	-
05:27:39	1544	1.5339	-	-
05:27:39	1543	3.5345	-	-
05:27:37	1542	3.6354	-	-
05:27:35	1541	2.2568	-	-
05:27:33	1540	2.5855	-	-
05:27:33	1539	3.3535	-	-
05:27:31	1538	1.0402	-	-
05:27:28	1537	1.6435	-	-
05:27:26	1536	2.1877	-	-
05:27:24	1535	0.6352	-	-
05:27:24	1534	2.2824	-	-
05:27:20	1533	2.4348	-	-
05:27:20	1532	2.4210	-	-
05:27:18	1531	0.5828	-	-
05:27:16	1530	2.2835	-	-
05:27:14	1529	2.3317	-	-
05:27:12	1528	3.5089	-	-
05:27:12	1527	1.9424	-	-
05:27:10	1526	2.3620	-	-
05:27:08	1525	2.7413	-	-
05:27:06	1524	3.4544	-	-
05:27:04	1523	2.8585	-	-
05:27:04	1522	1.3327	-	-
05:27:02	1521	1.8541	-	-
05:27:00	1520	2.9325	-	-
05:26:58	1519	0.9162	-	-
05:26:56	1518	3.8217	-	-
05:26:54	1517	2.2794	-	-
05:26:54	1516	2.6404	-	-
05:26:52	1515	2.6803	-	-
05:26:50	1514	1.4133	-	-
05:26:48	1513	2.8529	-	-
05:26:46	1512	1.0853	-	-
05:26:44	1511	2.8670	-	-
05:26:40	1510	2.7031	-	2.7400
05:26:09	1509	3.4085	-	-
05:26:07	1508	3.6758	-	-
05:26:05	1507	3.1930	-	-
05:26:03	1506	1.2508	-	-
05:26:03	1505	1.3564	-	-
05:26:01	1504	3.4228	-	-
05:25:59	1503	2.8014	-	-
05:25:57	1502	3.0690	-	-
05:25:57	1501	0.8263	-	-
05:25:53	1500	1.5189	3.3725	-
05:25:45	1499	1.0931	-	-
05:25:43	1498	2.9107	-	-
05:25:43	1497	0.5131	-	-
05:25:41	1496	0.4214	-	-
05:25:39	1495	2.0169	-	-
05:25:37	1494	2.8282	-	-
05:25:35	1493	3.0765	-	-
05:25:35	1492	3.2896	-	-
05:25:33	1491	2.3153	-	-
05:25:30	1490	3.0845	-	-
05:25:28	1489	1.0209	-	-
05:25:26	1488	0.8526	-	-
05:25:26	1487	1.4187	-	-
05:25:24	1486	0.5824	-	-
05:25:22	1485	1.3951	-	-
05:25:20	1484	3.6486	-	-
05:25:18	1483	2.8059	-	-
05:25:18	1482	3.9383	-	-
05:25:16	1481	1.6401	-	-
05:25:14	1480	3.5754	-	-
05:25:12	1479	3.4301	-	-
05:25:10	1478	2.1552	-	-
05:25:10	1477	2.0318	-	-
05:25:08	1476	2.8265	-	-
05:25:06	1475	0.4777	-	-
05:25:04	1474	0.4981	-	-
05:25:02	1473	1.2550	-	-
05:25:02	1472	3.3198	-	-
05:25:00	1471	1.1502	-	-
05:24:58	1470	3.4378	-	-
05:24:56	1469	2.2287	-	-
05:24:56	1468	1.9700	-	-
05:24:54	1467	2.9138	-	-
05:24:52	1466	3.9805	-	-
05:24:50	1465	3.3421	-	-
05:24:48	1464	4.0594	-	-
05:24:46	1463	0.8620	-	-
05:24:44	1462	3.3754	-	-
05:24:44	1461	3.4456	-	-
05:24:42	1460	1.0320	-	-
05:24:40	1459	3.6597	-	-
05:24:38	1458	2.9885	-	-
05:24:36	1457	0.6352	-	-
05:24:36	1456	1.4114	-	-
05:24:34	1455	2.3327	-	-
05:24:32	1454	1.3639	-	-
05:24:29	1453	2.8950	-	-
05:24:29	1452	3.3192	-	-
05:24:25	1451	3.7946	-	-
05:24:25	1450	2.2211	-	-
05:24:23	1449	0.3759	-	-
05:24:21	1448	0.7243	-	-
05:24:19	1447	3.0954	-	-
05:24:17	1446	3.2761	-	-
05:24:17	1445	3.9913	-	-
05:24:15	1444	2.7328	-	-
05:24:13	1443	2.5017	-	-
05:24:11	1442	2.1540	-	-
05:24:11	1441	3.6784	-	-
05:24:09	1440	4.0461	-	-
05:24:07	1439	2.2206	-	-
05:24:05	1438	3.4955	-	-
05:24:03	1437	0.7517	-	-
05:24:01	1436	3.2941	-	-
05:24:01	1435	3.2147	-	-
05:23:59	1434	2.4922	-	-
05:23:57	1433	3.0561	-	-
05:23:55	1432	2.1793	-	-
05:23:53	1431	3.4496	-	-
05:23:53	1430	1.9180	-	-
05:23:51	1429	1.1990	-	-
05:23:49	1428	3.6751	-	-
05:23:47	1427	3.3187	-	-
05:23:45	1426	2.5952	-	-
05:23:45	1425	2.8282	-	-
05:23:43	1424	1.5591	-	-
05:23:41	1423	3.6718	-	-
05:23:39	1422	1.8743	-	-
05:23:37	1421	2.0210	-	-
05:23:35	1420	2.0481	-	-
05:23:35	1419	1.7807	-	-
05:23:32	1418	1.4708	-	-
05:23:30	1417	2.7468	-	-
05:23:28	1416	1.8558	-	-
05:23:28	1415	0.7912	-	-
05:23:26	1414	3.5982	-	-
05:23:24	1413	3.5407	-	-
05:23:22	1412	2.0145	-	-
05:23:20	1411	3.8365	-	-
05:23:18	1410	2.7078	-	-
05:23:18	1409	4.1692	-	-
05:23:16	1408	3.1985	-	-
05:23:14	1407	1.1113	-	-
05:23:12	1406	0.4473	-	-
05:23:10	1405	2.7306	-	-
05:23:08	1404	3.9427	-	-
05:23:08	1403	3.4887	-	-
05:23:06	1402	2.4082	-	-
05:23:04	1401	0.9778	-	-
05:23:02	1400	3.1025	3.4729	-
05:22:54	1399	1.1284	-	-
05:22:52	1398	4.3222	-	-
05:22:50	1397	3.5795	-	-
05:22:48	1396	1.4292	-	-
05:22:46	1395	0.3422	-	-
05:22:46	1394	2.2971	-	-
05:22:44	1393	3.1729	-	-
05:22:42	1392	3.4480	-	-
05:22:40	1391	3.0505	-	-
05:22:38	1390	2.9848	-	-
05:22:38	1389	2.7323	-	-
05:22:35	1388	3.7727	-	-
05:22:33	1387	3.0084	-	-
05:22:31	1386	1.0088	-	-
05:22:31	1385	2.0323	-	-
05:22:29	1384	2.8534	-	-
05:22:27	1383	2.3500	-	-
05:22:25	1382	3.4925	-	-
05:22:23	1381	3.6721	-	-
05:22:21	1380	2.7053	-	-
05:22:21	1379	2.7590	-	-
05:22:19	1378	1.0059	-	-
05:22:17	1377	1.2248	-	-
05:22:15	1376	2.4784	-	-
05:22:15	1375	2.1695	-	-
05:22:11	1374	3.7925	-	-
05:22:11	1373	1.6287	-	-
05:22:09	1372	1.4264	-	-
05:22:07	1371	3.2487	-	-
05:22:05	1370	0.5876	-	-
05:22:05	1369	2.5935	-	-
05:22:03	1368	3.4037	-	-
05:22:01	1367	2.8128	-	-
05:21:59	1366	1.7022	-	-
05:21:57	1365	3.2982	-	-
05:21:55	1364	2.7308	-	-
05:21:55	1363	2.7591	-	-
05:21:53	1362	2.7522	-	-
05:21:51	1361	2.1033	-	-
05:21:49	1360	3.6142	-	-
05:21:47	1359	1.7908	-	-
05:21:47	1358	2.8916	-	-
05:21:45	1357	3.0612	-	-
05:21:43	1356	2.7717	-	-
05:21:41	1355	2.3764	-	-
05:21:39	1354	2.8107	-	-
05:21:39	1353	1.8979	-	-
